county,area,lat,lon
"Autauga,AL",604,32.532237,-86.64644
"Baldwin,AL",2027,30.659218,-87.746067
"Barbour,AL",904,31.870253,-85.405104
"Bibb,AL",626,33.015893,-87.127148
"Blount,AL",650,33.977358,-86.56644
"Bullock,AL",625,32.101759,-85.717261
"Butler,AL",777,31.751667,-86.681969
"Calhoun,AL",612,33.770516,-85.827909
"Chambers,AL",603,32.915504,-85.394032
"Cherokee,AL",599,34.069515,-85.654242
"Chilton,AL",700,32.854051,-86.726607
"Choctaw,AL",920,31.990954,-88.248889
"Clarke,AL",1252,31.685521,-87.818624
"Clay,AL",606,33.2704,-85.863525
"Cleburne,AL",561,33.671964,-85.516126
"Coffee,AL",680,31.402258,-85.989602
"Colbert,AL",623,34.703112,-87.801457
"Conecuh,AL",852,31.430926,-86.988722
"Coosa,AL",666,32.931445,-86.243482
"Covington,AL",1043,31.243987,-86.448721
"Crenshaw,AL",610,31.730311,-86.320038
"Cullman,AL",755,34.131923,-86.869267
"Dale,AL",562,31.430654,-85.609476
"Dallas,AL",993,32.333526,-87.11436
"DeKalb,AL",778,34.460915,-85.804021
"Elmore,AL",657,32.597229,-86.142735
"Escambia,AL",953,31.122287,-87.16841
"Etowah,AL",548,34.047641,-86.034263
"Fayette,AL",629,33.716157,-87.764292
"Franklin,AL",646,34.441989,-87.842814
"Geneva,AL",578,31.092382,-85.821022
"Greene,AL",659,32.844497,-87.9642
"Hale,AL",656,32.752796,-87.623061
"Henry,AL",568,31.516978,-85.239971
"Houston,AL",581,31.158183,-85.296411
"Jackson,AL",1126,34.764114,-85.980056
"Jefferson,AL",1124,33.553444,-86.896536
"Lamar,AL",605,33.787085,-88.087431
"Lauderdale,AL",719,34.904168,-87.651108
"Lawrence,AL",717,34.529776,-87.321865
"Lee,AL",615,32.604064,-85.353048
"Limestone,AL",607,34.810239,-86.981399
"Lowndes,AL",725,32.147888,-86.650586
"Macon,AL",613,32.387027,-85.692887
"Madison,AL",812,34.764238,-86.55108
"Marengo,AL",982,32.247591,-87.791091
"Marion,AL",743,34.138219,-87.881551
"Marshall,AL",623,34.309564,-86.321668
"Mobile,AL",1644,30.684572,-88.196568
"Monroe,AL",1034,31.580353,-87.383342
"Montgomery,AL",799,32.202881,-86.204461
"Morgan,AL",599,34.454484,-86.846402
"Perry,AL",723,32.639005,-87.293827
"Pickens,AL",890,33.2968,-88.096864
"Pike,AL",672,31.798653,-85.941608
"Randolph,AL",584,33.296461,-85.464064
"Russell,AL",647,32.289811,-85.18698
"St. Clair,AL",653,33.719491,-86.311327
"Shelby,AL",809,33.266893,-86.661007
"Sumter,AL",913,32.597481,-88.200057
"Talladega,AL",760,33.369314,-86.17593
"Tallapoosa,AL",766,32.863308,-85.799618
"Tuscaloosa,AL",1351,33.29022,-87.522783
"Walker,AL",805,33.791558,-87.301094
"Washington,AL",1088,31.408503,-88.212404
"Wilcox,AL",907,31.990082,-87.304935
"Winston,AL",631,34.154566,-87.365346
"Aleutians East Borough,AK",15016,55.245044,-161.997477
"Aleutians West Census Area,AK",14116,51.948964,179.621188
"Anchorage Municipality,AK",1946,61.17425,-149.284329
"Bethel Census Area,AK",45555,60.929141,-160.152625
"Bristol Bay Borough,AK",848,58.741661,-156.966805
"Chugach Census Area,AK",15143,60.488474,-146.203092
"Copper River Census Area,AK",25163,62.034479,-143.922167
"Denali Borough,AK",12666,63.682039,-150.027016
"Dillingham Census Area,AK",20628,59.543326,-158.267123
"Fairbanks North Star Borough,AK",7434,64.670454,-146.496061
"Haines Borough,AK",2746,59.098404,-135.575791
"Hoonah-Angoon Census Area,AK",9572,58.403336,-135.884909
"Juneau City and Borough,AK",3254,58.37291,-134.178445
"Kenai Peninsula Borough,AK",24720,60.366668,-152.322283
"Ketchikan Gateway Borough,AK",6653,55.449938,-131.106685
"Kodiak Island Borough,AK",12151,57.7044,-153.918372
"Kusilvak Census Area,AK",19658,62.283588,-163.190171
"Lake and Peninsula Borough,AK",33866,58.108507,-156.413413
"Matanuska-Susitna Borough,AK",25265,62.265626,-149.503993
"Nome Census Area,AK",28290,64.783686,-164.188912
"North Slope Borough,AK",94827,69.449343,-153.47283
"Northwest Arctic Borough,AK",40619,67.005066,-160.021086
"Petersburg Borough,AK",3822,57.112458,-133.008598
"Prince of Wales-Hyder Census Area,AK",10909,55.682773,-133.162389
"Sitka City and Borough,AK",4815,57.193204,-135.367396
"Skagway Municipality,AK",445,59.560379,-135.338279
"Southeast Fairbanks Census Area,AK",25121,63.864997,-143.218628
"Wrangell City and Borough,AK",3476,56.180779,-132.026788
"Yakutat City and Borough,AK",9164,60.017508,-140.416847
"Yukon-Koyukuk Census Area,AK",147878,65.375727,-151.57785
"Apache,AZ",11219,35.385084,-109.490172
"Cochise,AZ",6216,31.840129,-109.775163
"Coconino,AZ",18661,35.829692,-111.773728
"Gila,AZ",4794,33.789618,-110.81187
"Graham,AZ",4640,32.931828,-109.87831
"Greenlee,AZ",1847,33.238872,-109.242323
"La Paz,AZ",4510,33.72761,-114.038806
"Maricopa,AZ",9226,33.345176,-112.49893
"Mohave,AZ",13460,35.717705,-113.749689
"Navajo,AZ",9958,35.390785,-110.321025
"Pima,AZ",9190,32.128038,-111.783657
"Pinal,AZ",5374,32.918521,-111.366339
"Santa Cruz,AZ",1237,31.525733,-110.845228
"Yavapai,AZ",8127,34.631071,-112.577225
"Yuma,AZ",5518,32.773942,-113.910905
"Arkansas,AR",1038,34.28957,-91.376547
"Ashley,AR",940,33.190835,-91.772267
"Baxter,AR",586,36.280268,-92.329949
"Benton,AR",884,36.337819,-94.256298
"Boone,AR",602,36.304299,-93.079236
"Bradley,AR",652,33.466549,-92.169156
"Calhoun,AR",632,33.56046,-92.513879
"Carroll,AR",638,36.33737,-93.540972
"Chicot,AR",691,33.267139,-91.297158
"Clark,AR",882,34.053316,-93.176208
"Clay,AR",641,36.367302,-90.418704
"Cleburne,AR",592,35.593628,-92.008898
"Cleveland,AR",598,33.893201,-92.188714
"Columbia,AR",766,33.223038,-93.232843
"Conway,AR",566,35.26569,-92.689249
"Craighead,AR",712,35.827729,-90.631421
"Crawford,AR",605,35.582959,-94.236193
"Crittenden,AR",644,35.197559,-90.30512
"Cross,AR",622,35.285692,-90.763984
"Dallas,AR",667,33.967823,-92.653999
"Desha,AR",812,33.828752,-91.244103
"Drew,AR",835,33.587242,-91.722778
"Faulkner,AR",664,35.146548,-92.336928
"Franklin,AR",620,35.508558,-93.887665
"Fulton,AR",620,36.381322,-91.819285
"Garland,AR",734,34.578852,-93.146932
"Grant,AR",633,34.285568,-92.422979
"Greene,AR",579,36.120607,-90.566346
"Hempstead,AR",740,33.735953,-93.664355
