county,population
"Autauga,AL",59759
"Baldwin,AL",246435
"Barbour,AL",24706
"Bibb,AL",22005
"Blount,AL",59512
"Bullock,AL",10202
"Butler,AL",18650
"Calhoun,AL",115788
"Chambers,AL",34088
"Cherokee,AL",25302
"Chilton,AL",45884
"Choctaw,AL",12439
"Clarke,AL",22515
"Clay,AL",14198
"Cleburne,AL",15346
"Coffee,AL",54805
"Colbert,AL",58033
"Conecuh,AL",11206
"Coosa,AL",10166
"Covington,AL",37602
"Crenshaw,AL",13025
"Cullman,AL",90665
"Dale,AL",49544
"Dallas,AL",36767
"DeKalb,AL",71998
"Elmore,AL",89563
"Escambia,AL",36666
"Etowah,AL",103088
"Fayette,AL",16118
"Franklin,AL",31932
"Geneva,AL",26783
"Greene,AL",7422
"Hale,AL",14595
"Henry,AL",17655
"Houston,AL",108079
"Jackson,AL",52891
"Jefferson,AL",665409
"Lamar,AL",13705
"Lauderdale,AL",95878
"Lawrence,AL",33214
"Lee,AL",180773
"Limestone,AL",110900
"Lowndes,AL",9777
"Macon,AL",18516
"Madison,AL",403565
"Marengo,AL",18745
"Marion,AL",29156
"Marshall,AL",99423
"Mobile,AL",411411
"Monroe,AL",19404
"Montgomery,AL",226361
"Morgan,AL",124211
"Perry,AL",8035
"Pickens,AL",18697
"Pike,AL",33014
"Randolph,AL",22479
"Russell,AL",58555
"St Clair,AL",93932
"Shelby,AL",230115
"Sumter,AL",11853
"Talladega,AL",80704
"Tallapoosa,AL",40977
"Tuscaloosa,AL",236780
"Walker,AL",64339
"Washington,AL",15122
"Wilcox,AL",10059
"Winston,AL",23755
"Aleutians East Borough,AK",3398
"Aleutians West Census Area,AK",5122
"Anchorage Municipality,AK",287145
"Bethel Census Area,AK",18257
"Bristol Bay Borough,AK",865
"Chugach Census Area,AK",6874
"Copper River Census Area,AK",2589
"Denali Borough,AK",1585
"Dillingham Census Area,AK",4723
"Fairbanks North Star Borough,AK",95356
"Haines Borough,AK",2056
"Hoonah-Angoon Census Area,AK",2287
"Juneau City and Borough,AK",31685
"Kenai Peninsula Borough,AK",60690
"Ketchikan Gateway Borough,AK",13741
"Kodiak Island Borough,AK",12720
"Kusilvak Census Area,AK",8278
"Lake and Peninsula Borough,AK",1381
"Matanuska-Susitna Borough,AK",113325
"Nome Census Area,AK",9835
"North Slope Borough,AK",10805
"Northwest Arctic Borough,AK",7423
"Petersburg Borough,AK",3360
"Prince of Wales-Hyder Census Area,AK",5650
"Sitka City and Borough,AK",8382
"Skagway Municipality,AK",1081
"Southeast Fairbanks Census Area,AK",7021
"Wrangell City and Borough,AK",2070
"Yakutat City and Borough,AK",700
"Yukon-Koyukuk Census Area,AK",5179
"Apache,AZ",65432
"Cochise,AZ",125663
"Coconino,AZ",144060
"Gila,AZ",53922
"Graham,AZ",38779
"Greenlee,AZ",9302
"La Paz,AZ",16506
"Maricopa,AZ",4551524
"Mohave,AZ",220816
"Navajo,AZ",108650
"Pima,AZ",1057597
"Pinal,AZ",464154
"Santa Cruz,AZ",48759
"Yavapai,AZ",246191
"Yuma,AZ",207842
"Arkansas,AR",16512
"Ashley,AR",18354
"Baxter,AR",42435
"Benton,AR",302863
"Boone,AR",38284
"Bradley,AR",10135
"Calhoun,AR",4695
"Carroll,AR",28742
"Chicot,AR",9873
"Clark,AR",21250
"Clay,AR",14265
"Cleburne,AR",25284
"Cleveland,AR",7467
"Columbia,AR",22216
"Conway,AR",21046
"Craighead,AR",113017
"Crawford,AR",61075
"Crittenden,AR",47061
"Cross,AR",16601
"Dallas,AR",6191
"Desha,AR",10771
"Drew,AR",16911
"Faulkner,AR",127665
"Franklin,AR",17271
"Fulton,AR",12382
"Garland,AR",100089
"Grant,AR",18160
"Greene,AR",46448
"Hempstead,AR",19453
"Hot Spring,AR",33203
"Howard,AR",12557
"Independence,AR",37945
"Izard,AR",14048
"Jackson,AR",16624
"Jefferson,AR",64246
"Johnson,AR",26001
"Lafayette,AR",6101
"Lawrence,AR",16205
"Lee,AR",8364
"Lincoln,AR",12916
"Little River,AR",11821
"Logan,AR",21253
"Lonoke,AR",75225
"Madison,AR",17486
"Marion,AR",17254
"Miller,AR",42552
"Mississippi,AR",38896
"Monroe,AR",6564
"Montgomery,AR",8556
"Nevada,AR",8181
"Newton,AR",7078
"Ouachita,AR",22049
"Perry,AR",10063
"Phillips,AR",15304
"Pike,AR",10179
"Poinsett,AR",22495
"Polk,AR",19337
"Pope,AR",64065
"Prairie,AR",8069
"Pulaski,AR",399145
"Randolph,AR",18837
"St Francis,AR",22451
"Saline,AR",127357
"Scott,AR",9805
"Searcy,AR",7918
"Sebastian,AR",129059
"Sevier,AR",15686
"Sharp,AR",17810
"Stone,AR",12575
"Union,AR",37752
"Van Buren,AR",16102
"Washington,AR",256054
"White,AR",77755
"Woodruff,AR",6049
"Yell,AR",20129
"Alameda,CA",1628997
"Alpine,CA",1190
"Amador,CA",41412
"Butte,CA",207303
"Calaveras,CA",46563
"Colusa,CA",21914
"Contra Costa,CA",1156966
"Del Norte,CA",27082
"El Dorado,CA",192646
"Fresno,CA",1015190
"Glenn,CA",28339
"Humboldt,CA",135010
"Imperial,CA",178713
"Inyo,CA",18718
"Kern,CA",916108
"Kings,CA",152981
"Lake,CA",68191
"Lassen,CA",29904
"Los Angeles,CA",9721138
"Madera,CA",160256
"Marin,CA",256018
"Mariposa,CA",17020
"Mendocino,CA",89783
"Merced,CA",290014
"Modoc,CA",8511
"Mono,CA",12978
"Monterey,CA",432858
"Napa,CA",134300
"Nevada,CA",102293
"Orange,CA",3151184
"Placer,CA",417772
"Plumas,CA",19351
